customer_id,transaction_count,total_transaction_value,average_transaction_value,max_transaction_value,high_risk_country_tx_count,average_country_risk,high_value_tx_count,velocity_24h
C00001,45,115224.13,2560.5362222222225,10936.27,5,2.2,1,15
C00002,22,33273.35,1512.425,6644.06,2,2.1363636363636362,0,2
C00003,13,26741.59,2057.0453846153846,10420.56,2,1.7692307692307692,1,1
C00004,26,54308.96,2088.806153846154,16520.46,5,2.4615384615384617,1,2
C00005,20,29795.010000000002,1489.7505,11090.79,2,2.05,1,1
C00006,29,65618.07,2262.6920689655176,5344.46,5,1.9655172413793103,0,15
C00007,15,18634.0,1242.2666666666667,6252.92,4,2.6,0,1
C00008,18,43196.69,2399.8161111111112,11360.44,1,1.9444444444444444,1,1
C00009,20,23987.95,1199.3975,3622.43,2,2.0,0,2
C00010,19,19394.57,1020.7668421052631,3881.07,4,2.3684210526315788,0,1
C00011,28,35319.68,1261.4171428571428,5219.33,4,2.25,0,1
C00012,16,178699.99,11168.749375,39742.18,8,3.0625,5,5
C00013,19,19707.8,1037.2526315789473,2567.05,3,2.0526315789473686,0,1
C00014,20,33334.7,1666.735,4262.21,5,2.4,0,2
C00015,14,36768.33,2626.309285714286,15538.0,3,2.0714285714285716,1,2
C00016,20,24757.61,1237.8805,6950.2,2,2.25,0,1
C00017,20,24956.7,1247.835,4853.29,2,2.1,0,2
C00018,25,59395.08,2375.8032000000003,22421.5,3,2.4,1,2
C00019,27,34508.58,1278.0955555555556,5455.24,4,2.2222222222222223,0,2
C00020,21,33347.770000000004,1587.9890476190478,7229.67,3,2.142857142857143,0,2
C00021,17,13293.7,781.9823529411765,3150.65,4,2.3529411764705883,0,1
C00022,22,17962.920000000002,816.4963636363638,3626.62,3,2.1363636363636362,0,2
C00023,14,10068.13,719.1521428571428,1794.13,0,1.9285714285714286,0,1
C00024,14,14691.28,1049.3771428571429,2088.83,3,2.642857142857143,0,2
C00025,22,26803.89,1218.3586363636364,6919.18,2,2.090909090909091,0,1
C00026,18,27346.0,1519.2222222222222,8944.89,2,2.0,0,1
C00027,29,87683.67,3023.574827586207,14123.14,2,2.0689655172413794,1,15
C00028,13,18088.86,1391.4507692307693,4685.32,4,2.5384615384615383,0,2
C00029,19,20335.54,1070.2915789473684,5783.45,5,2.4210526315789473,0,2
C00030,17,36259.17,2132.8923529411763,9256.96,2,2.235294117647059,0,2
C00031,22,32846.88,1493.04,6822.14,7,2.5,0,1
C00032,30,53398.78,1779.9593333333332,24443.64,4,2.066666666666667,1,2
C00033,19,49096.659999999996,2584.034736842105,22075.34,3,2.3157894736842106,1,1
C00034,23,34743.97,1510.6073913043479,4530.57,3,2.0,0,2
C00035,22,24176.64,1098.9381818181819,3779.57,6,2.727272727272727,0,2
C00036,17,17274.59,1016.1523529411764,4488.92,4,2.5294117647058822,0,2
C00037,10,10088.69,1008.869,3963.03,1,1.9,0,1
C00038,28,51226.659999999996,1829.5235714285714,6841.86,2,2.0714285714285716,0,2
C00039,21,20030.579999999998,953.8371428571428,3738.86,0,1.9047619047619047,0,2
C00040,18,22397.29,1244.293888888889,3296.22,2,2.111111111111111,0,1
C00041,22,32402.46,1472.8390909090908,12217.73,6,2.727272727272727,1,2
C00042,20,41121.729999999996,2056.0865,8727.94,1,2.15,0,2
C00043,17,13164.75,774.3970588235294,5284.41,4,2.3529411764705883,0,2
C00044,26,31293.34,1203.59,6412.2,6,2.423076923076923,0,2
C00045,20,40334.87,2016.7435,6864.13,6,2.75,0,2
C00046,19,16318.57,858.8721052631579,3394.76,5,2.1578947368421053,0,2
C00047,17,21352.41,1256.0241176470588,3263.41,1,1.8823529411764706,0,1
C00048,27,40493.56,1499.7614814814815,5693.43,3,2.1481481481481484,0,2
C00049,21,24370.61,1160.5052380952382,6156.19,5,2.6666666666666665,0,2
C00050,21,41300.6,1966.695238095238,13238.59,5,2.6666666666666665,1,1
C00051,18,25676.5,1426.4722222222222,3948.18,1,1.6666666666666667,0,1
C00052,22,30402.260000000002,1381.9209090909092,9079.44,4,2.4545454545454546,0,2
C00053,20,35614.11,1780.7055,4653.77,4,2.35,0,1
C00054,22,23816.34,1082.560909090909,4850.22,4,2.227272727272727,0,1
C00055,18,27746.62,1541.4788888888888,6134.37,6,2.388888888888889,0,2
C00056,25,45362.56,1814.5023999999999,5330.59,6,2.44,0,2
C00057,18,33407.31,1855.9616666666666,5456.56,3,2.111111111111111,0,2
C00058,13,11888.779999999999,914.5215384615384,2704.92,2,1.9230769230769231,0,1
C00059,22,20592.24,936.0109090909092,2671.16,6,2.6363636363636362,0,1
