transaction_id,customer_id,bank_id,transaction_datetime,transaction_type,channel,amount,currency,location_id,counterparty_country,beneficiary_type,description,country_risk_score,home_country_code,pep_flag,kyc_status
T0004274,C00034,B011,2025-01-01 00:22:00,Card,Mobile,1374.47,GBP,L012,TR,Business,Payment,4,US,0,Verified
T0003009,C00094,B001,2025-01-01 02:50:00,Card,ATM,130.2,GBP,L020,ZA,Individual,Purchase,3,ZA,0,Verified
T0000079,C00154,B001,2025-01-01 04:32:00,Card,Branch,386.81,GBP,L005,IT,Individual,Purchase,1,ZA,0,Verified
T0006170,C00197,B002,2025-01-01 05:25:00,Cash Deposit,Branch,9792.7,GBP,L005,IT,Own Account,Cash Deposit,1,AU,0,Verified
T0006171,C00197,B002,2025-01-01 06:00:00,Cash Deposit,Branch,9256.19,GBP,L005,IT,Own Account,Cash Deposit,1,AU,0,Verified
T0003332,C00249,B007,2025-01-01 06:12:00,Card,Branch,670.79,GBP,L007,IE,Individual,Cash,1,PL,1,Verified
T0006172,C00197,B002,2025-01-01 06:35:00,Cash Deposit,Branch,9252.19,GBP,L017,CH,Own Account,Cash Deposit,2,AU,0,Verified
T0005347,C00238,B009,2025-01-01 07:03:00,International Transfer,Branch,582.88,GBP,L017,CH,Business,Cash,2,CH,0,Review Required
T0006173,C00197,B002,2025-01-01 07:10:00,Cash Deposit,Branch,8616.59,GBP,L013,NG,Own Account,Cash Deposit,5,AU,0,Verified
T0006174,C00197,B002,2025-01-01 07:45:00,Cash Deposit,Branch,8109.74,GBP,L006,NL,Own Account,Cash Deposit,1,AU,0,Verified
T0006175,C00197,B002,2025-01-01 08:20:00,Cash Deposit,Branch,9387.78,GBP,L016,HK,Own Account,Cash Deposit,3,AU,0,Verified
T0006176,C00197,B002,2025-01-01 08:55:00,Cash Deposit,Branch,9515.37,GBP,L019,IN,Own Account,Cash Deposit,3,AU,0,Verified
T0003225,C00285,B003,2025-01-01 09:02:00,Card,Branch,2546.45,GBP,L012,TR,Business,Purchase,4,IN,0,Verified
T0000100,C00254,B001,2025-01-01 09:21:00,Transfer,ATM,200.34,GBP,L008,US,Business,Purchase,2,BR,0,Verified
T0006177,C00197,B002,2025-01-01 09:30:00,Cash Deposit,Branch,9279.32,GBP,L019,IN,Own Account,Cash Deposit,3,AU,0,Verified
T0005622,C00077,B001,2025-01-01 09:47:00,Cash Withdrawal,Branch,1661.48,GBP,L020,ZA,Individual,Invoice,3,IE,0,Review Required
T0005606,C00275,B012,2025-01-01 10:08:00,Card,ATM,1580.07,GBP,L012,TR,Own Account,Cash,4,NL,0,Verified
T0002783,C00249,B006,2025-01-01 11:47:00,Card,Online,1392.73,GBP,L009,CA,Individual,Cash,2,PL,1,Verified
T0002253,C00247,B007,2025-01-01 11:47:00,Transfer,ATM,1883.25,GBP,L008,US,Individual,Payment,2,IT,0,Verified
T0001496,C00039,B005,2025-01-01 16:33:00,Card,ATM,1886.02,GBP,L017,CH,Business,Payment,2,BR,0,Verified
T0004492,C00274,B003,2025-01-01 19:50:00,Card,Online,350.55,GBP,L003,DE,Business,Payment,1,NG,1,Verified
T0005312,C00291,B004,2025-01-01 21:41:00,Transfer,Online,509.41,GBP,L018,PL,Individual,Transfer,2,ES,0,Verified
T0002289,C00021,B006,2025-01-02 02:14:00,Card,Online,265.55,GBP,L012,TR,Own Account,Transfer,4,NG,0,Verified
T0002012,C00271,B007,2025-01-02 03:38:00,Transfer,Mobile,663.02,GBP,L012,TR,Business,Transfer,4,NG,0,Verified
T0004852,C00087,B007,2025-01-02 03:40:00,International Transfer,Online,677.48,GBP,L003,DE,Business,Purchase,1,BR,0,Verified
T0002969,C00214,B011,2025-01-02 05:50:00,Transfer,ATM,17836.05,GBP,L011,AE,Individual,Transfer,4,AU,0,Verified
T0000864,C00015,B012,2025-01-02 07:49:00,Transfer,Mobile,161.56,GBP,L001,GB,Individual,Cash,1,IN,0,Verified
T0005372,C00189,B005,2025-01-02 07:56:00,Card,Branch,11517.47,GBP,L008,US,Individual,Invoice,2,IN,0,Verified
T0002503,C00063,B007,2025-01-02 08:21:00,Card,ATM,1390.76,GBP,L019,IN,Business,Salary,3,ES,0,Verified
