alert_id,transaction_id,customer_id,bank_id,transaction_datetime,amount,transaction_type,counterparty_country,risk_score,risk_tier,alert_reasons
A000001,T0006170,C00197,B002,2025-01-01 05:25:00,9792.7,Cash Deposit,IT,30,Medium,Near-threshold cash deposit
A000002,T0006171,C00197,B002,2025-01-01 06:00:00,9256.19,Cash Deposit,IT,30,Medium,Near-threshold cash deposit
A000003,T0006172,C00197,B002,2025-01-01 06:35:00,9252.19,Cash Deposit,CH,30,Medium,Near-threshold cash deposit
A000004,T0006173,C00197,B002,2025-01-01 07:10:00,8616.59,Cash Deposit,NG,50,High,Near-threshold cash deposit; High-risk jurisdiction
A000005,T0006174,C00197,B002,2025-01-01 07:45:00,8109.74,Cash Deposit,NL,30,Medium,Near-threshold cash deposit
A000006,T0006175,C00197,B002,2025-01-01 08:20:00,9387.78,Cash Deposit,HK,30,Medium,Near-threshold cash deposit
A000007,T0006176,C00197,B002,2025-01-01 08:55:00,9515.37,Cash Deposit,IN,30,Medium,Near-threshold cash deposit
A000008,T0006177,C00197,B002,2025-01-01 09:30:00,9279.32,Cash Deposit,IN,30,Medium,Near-threshold cash deposit
A000009,T0002969,C00214,B011,2025-01-02 05:50:00,17836.05,Transfer,AE,45,High,High-value transaction; High-risk jurisdiction
A000010,T0002873,C00153,B002,2025-03-15 08:24:00,14156.81,Transfer,AE,45,High,High-value transaction; High-risk jurisdiction
A000011,T0006126,C00134,B009,2025-03-16 00:28:00,2523.64,Transfer,NG,45,High,High-risk jurisdiction; Unusually high transaction velocity
A000012,T0006129,C00134,B009,2025-03-16 00:49:00,2978.55,Transfer,TR,45,High,High-risk jurisdiction; Unusually high transaction velocity
A000013,T0006009,C00012,B004,2025-03-17 17:56:00,39742.18,International Transfer,AE,45,High,High-value transaction; High-risk jurisdiction
A000014,T0006010,C00012,B004,2025-03-17 19:56:00,23493.02,International Transfer,TR,45,High,High-value transaction; High-risk jurisdiction
A000015,T0006011,C00012,B004,2025-03-17 21:56:00,31755.4,International Transfer,NG,45,High,High-value transaction; High-risk jurisdiction
A000016,T0006012,C00012,B004,2025-03-17 23:56:00,29957.08,International Transfer,AE,45,High,High-value transaction; High-risk jurisdiction
