claim_id,customer_id,claim_date,claim_type,claim_amount,claim_status
503921,116886,29/11/2024,Auto,1954.8,Approved
512448,103180,2019-07-31,Health,693.16,Approved
506669,108218,11/21/2021,Auto,3643.49,Approved
510315,118010,16-03-2026,Health,2159.58,Approved
504081,112831,23-09-2025,Life,4881.15,Rejected
513941,106122,2024-06-02,Life,9050.38,Approved
500903,112528,19/06/2023,Life,7990.85,Rejected
511090,105606,04/13/2022,Auto,1802.47,Approved
506451,100839,10/29/2023,Health,1081.7,Pending
504313,114927,14/03/2023,Auto,939.1,Approved
502201,116908,2021-09-23,Home,3032.03,Rejected
500387,109985,03-09-2025,Health,1799.7,Rejected
511775,117751,19/09/2022,Home,2489.55,Approved
509189,100600,2026-04-17,Home,2853.42,Pending
500149,119660,2026-04-12,Life,14837.05,Approved
506225,106931,10/16/2022,Home,5778.36,Under Review
500736,114781,27/12/2019,Health,3547.2,Approved
507308,100684,28-01-2024,Home,1788.52,Under Review
506929,120137,10/11/2020,Health,574.98,Approved
508614,112837,2024-07-06,Health,472.6,Under Review
504562,112522,01/10/2022,Home,1500.3,Approved
508375,111345,2021-08-29,Home,1257.5,Approved
509192,114303,10-03-2019,Health,718.97,Under Review
503833,102818,18/04/2022,Health,2008.18,Rejected
505267,110884,04/07/2023,Home,2450.05,Approved
507872,111665,2023-10-16,Home,4953.48,Pending
504755,115612,11-06-2022,Travel,875.78,Rejected
510635,110832,12/02/2025,Health,442.28,Rejected
513002,110785,22/08/2021,Auto,1580.1,Pending
511933,118566,12/31/2023,Auto,2296.28,Under Review
512899,110587,2022-12-19,Travel,593.27,Pending
502087,118618,23-06-2024,Auto,609.39,Rejected
506023,117800,2021-04-20,Health,3816.2,Approved
506935,100267,09-11-2022,Health,87.13,Approved
502525,107403,09/09/2019,Home,12546.51,Rejected
502325,115869,10/15/2025,Auto,5036.88,Pending
513036,101898,03/23/2020,Auto,1669.46,Approved
512634,114027,2024-12-19,Auto,1824.45,Under Review
507439,114358,10/06/2019,Health,717.0,Approved
500357,112320,02/07/2025,Auto,1045.98,Approved
504526,113692,09/06/2022,Auto,4427.77,Approved
502351,116747,2025-06-05,Home,,Under Review
504190,110946,09/09/2023,Auto,933.36,Pending
502753,104296,27-12-2022,Home,1386.88,Pending
512956,116807,2024-01-12,Home,9370.32,Pending
505120,108645,13-07-2025,Auto,440.13,Under Review
505421,120240,13-04-2019,Travel,454.13,Approved
503283,113710,07/06/2026,Home,9212.42,Approved
509158,105643,16-07-2020,Home,1139.44,Approved
506705,105691,29-05-2019,Life,-13497.56,Approved
504643,108294,12/07/2020,Auto,,Rejected
509927,104137,23/06/2022,Auto,1327.36,Approved
503822,108214,2023-04-18,Health,690.81,Approved
505400,117142,18-06-2021,Life,7397.46,Approved
514299,103266,14-05-2025,Auto,1124.17,Approved
502968,113775,2021-12-29,Home,668.84,Approved
504194,101266,2025-07-02,Auto,1237.22,Pending
507584,114864,01/16/2022,Home,2255.34,Approved
501533,113019,2024-12-20,Auto,3723.58,Approved
512862,119496,2024-07-18,Auto,3413.37,Pending
514091,107196,2025-10-04,Health,760.58,Approved
507859,118573,05-09-2023,Home,1689.74,Approved
507359,101329,07-10-2025,Health,593.07,Pending
509709,117008,03/21/2023,Auto,322.65,Rejected
502714,111466,05/07/2022,Life,4243.81,Approved
501225,102153,10/03/2019,Home,1483.75,Approved
508627,113398,28-05-2023,Life,4629.93,Rejected
508773,107937,07-09-2021,Auto,2272.14,Rejected
509930,103039,2022-04-26,Auto,2022.03,Approved
510687,102939,2022-06-28,Travel,211.66,Approved
500907,108956,15/09/2020,Health,383.22,Rejected
501953,108331,03/10/2022,Health,257.72,Approved
502608,103470,23/12/2025,Home,2412.01,Approved
511715,112719,2021-04-21,Auto,906.16,Approved
508057,115657,04/08/2026,Health,-821.01,Approved
509425,101294,08/29/2019,Home,1814.2,Approved
506883,107767,01/12/2026,Home,1416.5,Approved
503680,110790,11/12/2019,Home,1105.91,Approved
513852,102033,2023-05-26,Health,1916.33,Approved
509344,104067,11-04-2026,Health,361.47,Approved
506967,107058,06/20/2026,Health,598.16,Approved
504398,103448,27-08-2021,Health,3513.53,Pending
504106,110341,11/21/2022,Health,1037.8,Under Review
509453,107938,31-05-2026,Travel,307.02,Approved
502298,100485,01-04-2021,Health,308.54,Approved
507278,117034,01-09-2019,Home,12303.16,Pending
509960,119599,02/07/2026,Travel,550.66,Approved
500251,103328,2022-05-31,Auto,849.76,Approved
509531,100524,09/25/2022,Home,1737.12,Approved
510109,111210,20-10-2021,Auto,857.15,Approved
513316,105693,18-05-2022,Travel,127.33,Under Review
500169,118534,2019-03-06,Health,2270.45,Rejected
502025,111655,31/07/2025,Health,867.02,Under Review
508866,101386,23/08/2024,Auto,3867.12,Approved
504341,106983,2021-08-23,Life,11310.47,Approved
