customer_id,age,gender,region,employment_type,education_level,marital_status,credit_score,signup_date
103910,48.0,male,North West,Employed,Postgraduate,Married,-726.0,2024-01-20
112169,32.0,male,East Midlands,Self-Employed,Undergraduate,Single,509.0,2024-05-08
113206,43.0,male,North West,Self-Employed,High School,Single,627.0,25-03-2019
118345,44.0,female,Wales,Retired,Undergraduate,Married,548.0,09/30/2025
117205,,male,,,High School,,736.0,02/07/2019
118318,22.0,male,North West,Employed,Undergraduate,Single,712.0,14/10/2021
100447,58.0,FEMALE,London,Retired,Vocational,Married,708.0,07/15/2022
103394,26.0,male,Yorkshire and the Humber,Employed,High School,Married,711.0,20/06/2025
116790,33.0,male,Scotland,Retired,High School,Married,593.0,2024-12-05
100385,50.0,F,South East,Unemployed,Vocational,Single,599.0,02/08/2026
110545,24.0,MALE,East of England,Self-Employed,Postgraduate,Married,584.0,23/05/2023
116141,18.0, Male,West Midlands,Employed,Undergraduate,Single,682.0,2023-10-26
104572,35.0,female,North West,Self-Employed,Undergraduate,Married,496.0,2022-10-02
116132,49.0,M,London,Unemployed,Undergraduate,Married,721.0,2018-02-16
112058,40.0,Male,West Midlands,Unemployed,High School,Single,628.0,06/29/2024
110977,43.0, Female,Northern Ireland,Employed,High School,Single,538.0,2019-10-10
114957,51.0,O,Yorkshire and the Humber,Employed,High School,Married,850.0,2019-01-26
115881,54.0,Female,Wales,Employed,High School,Married,790.0,09/04/2022
114050,40.0,MALE,East of England,Retired,Vocational,Married,658.0,2024-09-01
111973,53.0, Female,South East,Retired,Undergraduate,Single,639.0,11/10/2023
119214,42.0,M,South West,Employed,Undergraduate,Married,826.0,22/12/2018
106253,40.0,Female,North East,Employed,Vocational,Married,610.0,2026-03-20
113424,30.0, Female,South West,Employed,Postgraduate,Divorced,751.0,14/04/2023
102090,44.0,Male,East Midlands,Employed,Undergraduate,Married,604.0,06/10/2020
105702,45.0, Female,North East,Employed,High School,Single,701.0,02/01/2022
103894,40.0,Female,Scotland,Employed,High School,Single,751.0,27-03-2026
111793,43.0,female,London,Student,Undergraduate,Single,646.0,2018-05-24
114426,61.0, Female,London,Retired,Undergraduate,Divorced,653.0,2021-04-28
104744,34.0, Male,Scotland,Unemployed,Undergraduate,Married,674.0,2018-12-09
103248,53.0,Male,Yorkshire and the Humber,Employed,Undergraduate,Married,756.0,2026-05-18
107231,42.0,F,North West,Self-Employed,Vocational,Single,638.0,07-07-2021
107558,36.0,M,Yorkshire and the Humber,Employed,Vocational,Single,606.0,2024-06-06
108619,33.0,M,London,Self-Employed,Postgraduate,Married,811.0,2025-02-25
117505,52.0, Female,West Midlands,Self-Employed,Undergraduate,Single,649.0,2018-03-21
114237,33.0,male,North West,Retired,Postgraduate,Married,796.0,29/11/2025
106803,50.0,M,London,Employed,Vocational,Single,754.0,10/07/2024
120181,36.0, Female,South West,Employed,Undergraduate,Single,737.0,09/03/2023
109276,37.0,female,South East,Employed,Undergraduate,Married,715.0,29-03-2025
110030,46.0,Male,Scotland,Retired,Undergraduate,Married,-602.0,15/04/2024
105518,39.0,M,Yorkshire and the Humber,Employed,High School,Married,,04-02-2021
120105,66.0,Male,East of England,Unemployed,Undergraduate,Married,468.0,2024-01-06
103100,33.0,Male,London,Employed,High School,Married,551.0,02/13/2025
106141,49.0,Male,North East,Employed,Vocational,Divorced,719.0,24/03/2021
106846,64.0,other,South East,Employed,None,Married,600.0,2019-08-08
107172,25.0,male,Northern Ireland,Employed,Postgraduate,Married,627.0,08/06/2026
103572,45.0,female,London,Unemployed,Postgraduate,Single,692.0,25-08-2019
115342,41.0,female,London,Employed,High School,Single,733.0,06/01/2023
101962,37.0,female,East of England,Employed,Vocational,Married,619.0,2019-11-27
116696,56.0,F,London,Employed,Undergraduate,Single,715.0,23/04/2019
118374,34.0,female,West Midlands,Self-Employed,High School,Married,629.0,07/13/2022
115495,46.0,Male,London,Retired,High School,Single,668.0,10/04/2023
108350,61.0,female,Northern Ireland,Retired,High School,Widowed,491.0,09/03/2019
106316,39.0,female,North West,Employed,Postgraduate,Single,563.0,26-09-2019
109652,52.0,Female,London,Employed,Undergraduate,Single,685.0,2023-11-13
102195,, Male,,,High School,,723.0,11/07/2024
112189,20.0,F,London,Employed,High School,Married,,04/04/2018
112250,41.0,Female,East of England,Unemployed,None,Divorced,664.0,16-02-2026
106164,36.0,M,North West,Self-Employed,Vocational,Single,643.0,27-06-2025
100482,39.0,M,West Midlands,Unemployed,Undergraduate,Single,779.0,03/05/2019
113644,18.0,FEMALE,North East,Employed,Vocational,Married,776.0,11/11/2024
118359,49.0, Male,Northern Ireland,Self-Employed,Undergraduate,Divorced,725.0,10/06/2018
106483,47.0,M,London,Retired,None,Married,573.0,08/11/2018
114714,23.0,FEMALE,Wales,Employed,Postgraduate,Married,754.0,06/14/2021
112988,55.0,female,London,Unemployed,None,Single,498.0,2019-06-04
116855,43.0,M,South West,Employed,High School,Divorced,787.0,02/26/2019
119499,42.0,male,East of England,Unemployed,Undergraduate,Divorced,630.0,29/12/2021
104110,19.0,Male,South West,Retired,Undergraduate,Married,737.0,21/10/2018
113876,39.0,Male,West Midlands,Student,High School,Married,639.0,2018-01-05
102534,40.0, Female,Wales,Self-Employed,High School,Single,676.0,2019-07-16
112969,65.0, Male,East of England,Employed,Undergraduate,Single,674.0,13-07-2019
104410,45.0,FEMALE,London,Employed,High School,Single,770.0,2025-12-18
109405,46.0,FEMALE,London,Retired,Postgraduate,Married,667.0,23-05-2022
119926,46.0,female,South West,Employed,None,Single,742.0,07/27/2025
117487,46.0,F,South West,Employed,High School,Widowed,513.0,2018-10-07
108873,65.0,Female,North West,Employed,Undergraduate,Married,401.0,16/02/2018
112656,41.0,Female,East of England,Unemployed,Postgraduate,Married,587.0,17-07-2019
114585,27.0,M,London,Employed,Undergraduate,Married,690.0,09/09/2019
114352,31.0,Female,London,Employed,Postgraduate,Divorced,571.0,25-05-2021
111783,34.0,female,East of England,Unemployed,None,Married,630.0,11/09/2020
113477,24.0,Female,North West,Employed,High School,Single,814.0,24-10-2022
107007,36.0, Male,South West,Student,Postgraduate,Divorced,644.0,2025-03-20
119227,42.0, Male,South East,Employed,Undergraduate,Single,627.0,14/05/2023
107656,59.0,Male,Yorkshire and the Humber,Employed,High School,Married,548.0,2018-07-27
107800,43.0,female,Northern Ireland,Self-Employed,Postgraduate,Single,580.0,06-03-2018
108703,39.0,Male,Wales,Employed,Undergraduate,Single,657.0,07-07-2021
102235,45.0,male,Scotland,Unemployed,Undergraduate,Married,765.0,2019-02-20
113725,46.0, Male,East of England,Self-Employed,High School,Single,468.0,02-01-2024
109665,44.0,MALE,East of England,Employed,Undergraduate,Divorced,591.0,2022-01-12
109397,53.0,F,Yorkshire and the Humber,Unemployed,Postgraduate,Divorced,622.0,03/12/2018
107361,46.0,F,West Midlands,Student,High School,Single,487.0,23-11-2023
106891,36.0,Female,Northern Ireland,Retired,High School,Single,645.0,04/11/2022
104520,43.0, Male,Yorkshire and the Humber,Employed,Postgraduate,Married,676.0,2020-10-06
113460,56.0,Male,South East,Employed,Vocational,Divorced,542.0,09/18/2022
103226,26.0,MALE,East Midlands,Self-Employed,Undergraduate,Married,594.0,07/14/2020
112440,57.0,MALE,North West,Employed,Postgraduate,Divorced,850.0,05/20/2021
118352,36.0,M,East of England,Employed,Undergraduate,Married,608.0,2018-11-04
104143,42.0,male,London,Retired,High School,Married,557.0,2024-02-28
114170,29.0, Male,West Midlands,Employed,Postgraduate,Single,0.0,31-08-2023
109787,31.0,MALE,West Midlands,Employed,High School,Single,688.0,31-05-2026
110856,53.0,Male,North West,Employed,Postgraduate,Married,630.0,12/05/2021
116442,64.0,Male,North West,Self-Employed,High School,Married,693.0,2023-08-18
116847,58.0,FEMALE,South East,Self-Employed,Undergraduate,Married,686.0,08-03-2021
104068,29.0,M,London,Employed,Vocational,Married,704.0,10/03/2022
103015,19.0,M,South East,Employed,Undergraduate,Married,611.0,06/07/2019
106814,46.0,Female,Northern Ireland,Employed,None,Married,488.0,10/03/2018
101077,,MALE,,,Undergraduate,,594.0,03/03/2018
118197,73.0,female,Scotland,Employed,Undergraduate,Married,547.0,04-06-2021
106332,36.0,F,Scotland,Self-Employed,None,Single,592.0,2024-09-24
108174,41.0,Female,South West,Self-Employed,High School,Single,707.0,31/10/2024
119876,25.0,Male,London,Employed,Postgraduate,Single,705.0,09/11/2022
119564,49.0, Male,North East,Employed,Postgraduate,Married,-699.0,03-05-2026
111881,33.0,FEMALE,South East,Student,Vocational,Divorced,671.0,28/05/2021
101747,47.0,male,South East,Self-Employed,Postgraduate,Married,824.0,11/03/2018
111825,52.0,MALE,London,Employed,Undergraduate,Married,749.0,27/10/2024
100133,62.0,Female,Wales,Self-Employed,Undergraduate,Married,521.0,05/13/2025
108882,52.0, Female,West Midlands,Student,Undergraduate,Divorced,585.0,24-08-2020
102174,28.0, Male,London,Self-Employed,Postgraduate,Single,599.0,2021-10-23
101642,20.0,FEMALE,North West,Self-Employed,High School,Widowed,785.0,28-03-2022
107046,21.0,MALE,West Midlands,Employed,Undergraduate,Married,614.0,2019-03-19
105885,18.0,M,London,Employed,Postgraduate,Single,715.0,2025-01-22
111566,18.0,female,West Midlands,Employed,High School,Single,735.0,04/10/2025
102425,18.0, Male,London,Employed,High School,Divorced,850.0,04-08-2018
106920,60.0, Female,North East,Unemployed,Undergraduate,Single,659.0,2023-04-07
112376,42.0,F,London,Employed,High School,Divorced,654.0,06/20/2023
119154,57.0,female,South West,Employed,High School,Single,570.0,2019-08-04
107476,50.0,MALE,South West,Employed,High School,Married,582.0,12/21/2025
120363,48.0,M,London,Employed,Postgraduate,Single,652.0,2018-01-22
108960,18.0,M,Scotland,Employed,Undergraduate,Divorced,652.0,09/13/2025
110375,54.0,female,London,Self-Employed,Vocational,Single,501.0,22/01/2024
101201,33.0,female,East of England,Employed,Undergraduate,Married,625.0,27-09-2020
106409,26.0,MALE,Yorkshire and the Humber,Self-Employed,Postgraduate,Single,763.0,03/03/2022
108360,30.0,Female,London,Employed,High School,Divorced,505.0,11/01/2019
110854,22.0,Male,South East,Self-Employed,Postgraduate,Married,587.0,14/11/2022
115231,42.0, Female,West Midlands,Unemployed,High School,Divorced,725.0,09/12/2020
119800,37.0, Female,Northern Ireland,Self-Employed,None,Single,708.0,2023-04-26
114471,40.0,female,North West,Employed,Undergraduate,Single,468.0,01-07-2025
102876,59.0,M,Yorkshire and the Humber,Retired,High School,Single,527.0,17/10/2022
107250,56.0,MALE,South East,Unemployed,High School,Single,651.0,14/12/2024
109364,51.0,MALE,London,Employed,High School,Married,501.0,25/03/2023
100911,38.0,male,South East,Retired,Postgraduate,Single,591.0,25/06/2021
112931,55.0,female,North East,Retired,Undergraduate,Divorced,600.0,06-09-2022
118679,46.0,F,London,Employed,Undergraduate,Married,788.0,02/10/2025
111900,38.0,Female,Yorkshire and the Humber,Employed,Vocational,Single,512.0,2024-11-20
102127,44.0,F,Scotland,Employed,Undergraduate,Single,743.0,08-12-2020
102710,41.0,Female,South East,Student,Vocational,Single,542.0,03/29/2022
103421,65.0,Male,Yorkshire and the Humber,Retired,Undergraduate,Divorced,573.0,13-05-2023
108317,49.0,Male,East Midlands,Employed,Vocational,Married,575.0,2024-02-26
119841,58.0,MALE,South East,Unemployed,High School,Married,820.0,07/30/2023
106258,47.0, Female,London,Self-Employed,Postgraduate,Divorced,839.0,16-11-2020
118833,50.0,Male,East Midlands,Employed,Undergraduate,Married,505.0,12/10/2022
112532,27.0,F,Wales,Self-Employed,High School,Divorced,552.0,09/07/2022
118664,29.0,female,North West,Self-Employed,High School,Single,693.0,01-08-2022
112470,55.0,F,North West,Retired,High School,Married,701.0,02/05/2024
114185,29.0,MALE,North West,Employed,Postgraduate,Married,664.0,04/12/2022
102501,18.0,Female,South East,Retired,Undergraduate,Single,620.0,26/07/2021
117173,67.0,male,South West,Employed,Undergraduate,Married,-729.0,23-11-2024
113590,38.0,FEMALE,London,Retired,High School,Married,614.0,2019-06-23
112821,29.0,Female,London,Self-Employed,High School,Single,494.0,23/03/2019
103068,55.0,female,London,Retired,Undergraduate,Married,598.0,08/23/2026
101097,,M,,,None,,590.0,02/23/2023
113517,26.0,FEMALE,London,Employed,Postgraduate,Married,625.0,30-12-2018
102992,61.0,MALE,Yorkshire and the Humber,Employed,Undergraduate,Single,598.0,08/11/2018
