customer_id,annual_income,monthly_debt_payment,loan_amount,loan_term_months,existing_loans_count,account_open_date
103910,22987.22,757.5,8085.27,60,0.0,01/02/2023
112169,-34990.14,335.23,14022.68,300,0.0,29/11/2022
113206,45762.61,463.93,7293.82,300,0.0,22-03-2024
118345,18774.82,1189.97,5743.99,180,1.0,13-07-2020
117205,16154.66,1198.12,28202.61,36,3.0,28-04-2025
118318,22894.48,658.08,10524.03,36,0.0,03/11/2021
100447,14672.19,661.28,9182.06,36,0.0,2025-12-22
103394,11592.69,312.85,3704.85,240,0.0,19/09/2019
116790,37382.08,396.73,19714.18,24,2.0,28/08/2018
100385,25254.46,349.54,13217.6,48,1.0,29/12/2023
110545,51611.19,949.46,32420.15,180,0.0,28-01-2021
116141,43981.8,252.89,40015.36,48,1.0,10/04/2018
104572,17949.46,214.27,13528.07,24,0.0,22/04/2024
116132,66826.58,686.87,6932.16,60,1.0,19-06-2018
112058,50755.87,659.76,10965.12,84,0.0,09/04/2018
110977,90582.73,651.35,6921.86,24,1.0,2025-08-21
114957,36487.56,1400.62,22664.56,36,0.0,02/19/2022
115881,17374.71,1509.08,3211.08,12,1.0,14-01-2026
114050,42811.52,1150.12,16078.06,180,2.0,19-02-2021
111973,33844.57,453.34,12454.75,84,1.0,2024-07-15
119214,28065.73,1218.67,3123.57,120,3.0,2023-02-17
106253,37294.75,992.39,2455.84,180,0.0,2022-12-13
113424,21475.54,557.91,4699.21,180,1.0,2022-12-28
102090,37367.19,1176.34,10818.06,300,0.0,03/03/2021
105702,26852.26,517.25,14017.5,84,2.0,21-07-2025
103894,34263.57,481.66,11651.86,180,1.0,2025-08-19
111793,15884.56,189.82,6799.73,12,3.0,29-07-2021
114426,37453.0,1152.61,11815.22,180,0.0,06/11/2020
104744,36954.04,1018.97,8577.51,120,0.0,2022-05-15
103248,15863.57,724.78,7830.24,60,2.0,2018-11-09
107231,1348405.6,97.3,6740.37,24,3.0,2019-01-25
107558,19491.51,1246.28,12232.28,120,0.0,2021-07-19
108619,39317.58,917.96,18822.67,36,0.0,17-01-2025
117505,19549.34,1337.79,14648.44,300,2.0,2024-10-18
